text,label,islenmis_text
gün gerizekalı edebiyat ödevi uğraştığıma inanamıyorum nefret ediyorum dersten nefret ,kizgin,gün gerizekalı edebiyat ödev uğraş inan nefret ed ders nefret
ıslatan araba sahibine sövüyorum ,kizgin,ısla araba sahib söv
elektrikler yok delireceğim şarjım olmuş ,kizgin,elektrikle yok delir şarj ol
bok olduğunda gelip hemen burdan laf sokacağınıza git doğru düzgün söyle mal ,kizgin,bok ol gel hemen bur laf sok git doğru düzgün söyle mal
telefonumun mikrofonu bozuldu delireceğim kulaklık girişi bozuk ,kizgin,telefon mikrofon bozul delir kulak giriş bozuk
tweetine adını yazmayan gerizekalı gelsin alsın ,kizgin,tweet ad yaz gerizekalı gel al
beyin hücresini taneyle verdiler lan olmaz lan nefret ediyorum ,kizgin,bey hücre tane ver lan olmaz lan nefret ed
görgüsüz insanları duvardan duvara vurmak istiyorum nefret olamaz ,kizgin,görgü insan duvar duvar vur ist nefret olamaz
lan yıldan fazla oldu gün konuştuk gidiyorsun lan delireceğim taktik verseydin giderken ,kizgin,lan yıl fazla ol gün konuş gid lan delir taktik ver gid
nefretimiz elektriğe dönüştürülebilseydi dünyayı aydınlatmaya yeterdi ,kizgin,nefret elektriğ dönüş dünya aydınlat yet
sütyenim sıkıyor kafayı yiyeceğim ,kizgin,sütyen sık kafa yi
kalktığımdan arıyorum yok kafayı yiyeceğim heryeri alt üst ettim prize bakmamışım meğer ,kizgin,kalk ar yok kafa yi heryer alt üst et priz bak meğer
evde çocuk kafayı yiyeceğim kafalarını duvara vuruyolar ,kizgin,ev çocuk kafa yi kafa duvar vuruyolar
bankanın müşteri temsilcisinin allah belasını versin kudurdum sinirden bak ,kizgin,banka müşteri temsilci allah bela ver kudur sinir bak
aynen kudurdum sinirden yazmam aramam sormam basıp git hadi ,kizgin,aynen kudur sinir yaz ara sor bas git hadi
elektrikler gitti sıçıcam işe resmen izlemiyim amk kudurdum sinirden ,kizgin,elektrikle git sıçıcam işe resmen izlem amk kudur sinir
burda bi küfür edeceğim kişi takipten çıkacak doluyum ,kizgin,bur bi küfür ed kişi takip çık dolu
aşırı agresifim gelmeyin üstüme dedikce geliyorsunuz manyak mısınız ,kizgin,aşırı agresif gel üst dedikce gel manyak mı
radyo dinlerken sinir küpü oldum ,kizgin,radyo dinle sinir küp ol
saçlarımızla sinirlerimizle oynadığınız ortalarda sinir küpü geziyoruz ,kizgin,saç sinir oyna orta sinir küp gez
yemekteyiz inci patlıcanı kesemiyorsun yalandan sinir oldum ,kizgin,ye inci patlıcan kes yalandan sinir ol
atom sokaklarda pervasızca bağırmak istiyorum anda ,kizgin,atom sokak perva bağır ist an
öfkeliyim yaptıklarına yapamadıklarına diyorum bitti blanık fotoğrafını silemiyorum ,kizgin,öfke yap yap di bit blanık fotoğraf sil
hadiseye karşi öfkem nedeni olmadan öfkelendiğim tek insan emin değilim öfkeliyim ,kizgin,hadise karşi öfke neden ol öfkelen tek insan emin değil öfke
an içimden bağırmak geldi yeminle ,kizgin,an iç bağır gel yem
ödemesini yapmayan müşterileri arayıp where is my money bağırmak istiyorum ,kizgin,öde yap müşteri ara where is my money bağır ist
soğukta sümerparkta oturan çiftler gerizekalı yemin ederim ,kizgin,soğuk sümerpark otur çiftle gerizekalı yem ed
eşinin yanında bakıyorsun hadsiz bağırmak istemek ,kizgin,eşin yanında bak had bağır iste
meclise bak esenler arka mahallesi yöneten kitleye bak yumruklar küfürler kavgalar yazıklar hepinize ,kizgin,meclis bak esenle arka mahalle yönet kitle bak yumrukla küfür kavga yazık hep
iptal edin ligleri birlik bağıran ağızlardan beddualar küfürler çocuğundan çıksın liginiz batsın ,kizgin,iptal ed lig birlik bağır ağız beddua küfür çocuğ çık lig bat
satır satır orul orul küfürler yazmak istiyorum an buraya ,kizgin,satır satır orul orul küfür yaz ist an bura
kavgalar gürültüler sinir krizleri geçirilen nöbetler kırılan eşyalar küfürler hakaretler saymakla bitmez ,kizgin,kavga gürültü sinir kriz geçir nöbet kır eşya küfür hakaret say bit
aklıma geldiğinde küfürler ettiklerim napıyolar yaşıyorlar ,kizgin,akl gel küfür et napıyolar yaş
ziraat bankası nefret ediyorum eminim şekerbank güzel bankadır ,kizgin,ziraat banka nefret ed emin şekerbank güzel bank
kızdığımı açıklamaya çalışırken sinirleniyorum ,kizgin,kız açıkla çalış sinirlen
sırf inat egonuz yüzünden küfürler ,kizgin,sırf inat ego yüzünden küfür
beyin bedava iken gerizekalı ciddi yetenek işidir ,kizgin,bey bedava iken gerizekalı ciddi yetenek iş
güzel küfürler biliyorum kadına yakışmıyor diyorlar ,kizgin,güzel küfür bil kadı yakış di
aniden kötü hislerin bastırmasından nefret ederim ,kizgin,aniden kötü his bastır nefret ed
soruyorum adımı çaldın gerizekalı ,kizgin,sor ad çal gerizekalı
sinirliyken yaratıcı küfürler edebiliyorum müthiş olay ,kizgin,sinirli yarat küfür ed müthiş olay
yumurtanın sperme gittiği görülmüş gerizekalı yazıcam ,kizgin,yumurta sperm git gör gerizekalı yazıcam
özür dilenince sinirleniyorum değiştirmiyor anlasanıza özür dilenecek yapmayın basiti ,kizgin,özür dilen sinirlen değiş anla özür dilen yap basit
yeter bağıracağım ,kizgin,yeter bağır
abi mor montum çıldıracağım ,kizgin,abi mor mont çıldır
saçma sapan ağa dizileri mafya dizileri uyduruk polisiyeleri alın turşusunu kurun dizimizi harcadınız ,kizgin,saçma sap ağa dizi mafya dizi uyduruk polisiye al turşu kur diz harca
dünya üzerinde nefes sinir oluyorum an hayvanlar hariç ,kizgin,dünya üzerinde nefes sinir ol an hayvan hariç
kendime konuşurken başkası araya girince sinirleniyorum ,kizgin,kendi konuş başka ara gir sinirlen
lütfen hayatımda herşey net belirsizlikten nefret ediyorum düşünmekten kafayı yiyeceğim ,kizgin,lütfen hayat herşey net belirsiz nefret ed düşün kafa yi
yemek yedikten kürdanı ağzına atıp saatlerce kürdanla gezen tiplerden nefret ediyorum ,kizgin,yemek ye kürdan ağz at saatlerce kürdan gez tip nefret ed
abi ısınamıyorum uyuyamıyorum camı açıp bağıracağım ,kizgin,abi ısın uyu cam aç bağır
saçma sapan şeylerle oyalanıyoruz gerçek ,kizgin,saçma sap şey oyala gerçek
annelerin yemek yeme düzensizliğine bağlamalarına sinir oluyorum ,kizgin,anne yemek ye düzen bağlama sinir ol
matematikte mutlak değer konusu zor malım çıldıracağım ,kizgin,matematik mutlak değ konu zor mal çıldır
buraya atılan videonun bozuk olmaması gerekiyor bilen söyleyebilir kafayı yiyeceğim ,kizgin,bura atıl video bozuk ol gerek bil söyle kafa yi
attığım mesaja geç cevap veren insanlardan nefret ediyorum ,kizgin,at mesaj geç cevap ver insan nefret ed
kızdığımı açıklamaya çalışırken sinirleniyorum ,kizgin,kız açıkla çalış sinirlen
benimle yorum yapan saçma sapan insanlara hayatımı açıp baksana neresindesin göstermek istiyorum ,kizgin,ben yorum yap saçma sap insan hayat aç bak nere göster ist
kısa cevap vermeyin sinir oluyorum ,kizgin,kısa cevap ver sinir ol
samimi olmadığım yapıyorsun dediğinde istemsiz sinirleniyorum sanane lan yapıyorum ,kizgin,samimi ol yap de istem sinirlen sanane lan yap
banko şampiyon olacağımız turnuvada sakatlık yedeğimiz yok diskalifiye olduk sinirden kafayı yiyeceğim ,kizgin,banko şampiyon ol turnuva sakat yedeğ yok diskalifiye ol sinir kafa yi
uzun süredir mesaj atmıyorsun çocuk sinirleniyorum ,kizgin,uzun süre mesaj at çocuk sinirlen
odadaki yeni kız sinir ediyor an uyuyor sinir oluyorum ,kizgin,oda yeni kız sinir ed an uy sinir ol
askerliğimi tür tecil ettiremedim kafayı yiyeceğim sonunda gidicem askere ,kizgin,asker tür tecil et kafa yi sonunda gidi asker
okuldan ciddi anlamda nefret ediyorum eskiden arkadaş azından derdim yok ,kizgin,okul ciddi anlam nefret ed eskiden arkadaş az der yok
kendime sinir oluyorum aralar olmaması gereken gereken gidiyorum yapıyorum aptalım ,kizgin,kendi sinir ol arala ol gerek gerek gid yap aptal
nefret ettiğim kişi sayısının fazlalığı korkutmaya başladı resmen sinirlenip sinir oluyorum ,kizgin,nefret et kişi sayı fazla korkut başla resmen sinirlen sinir ol
sevgililerin birbirine şifre verme olayına sinir oluyorum güvenmiyorsun sevgili sıfatın ,kizgin,sevgili birbiri şifre ver olay sinir ol güven sevgili sıfat
bölümü şurdan kesseydi kanal keşke vallahi sinir oluyorum daralıyorum ,kizgin,bölü şur kes kanal keşke vallahi sinir ol daral
söyleyeceğim diyip saat yazanlara sinir oluyorum ,kizgin,söyle di saat yaz sinir ol
oy vurun vurun çektiğim zulüm bağıracağım ,kizgin,oy vur vur çek zulüm bağır
sevdiğim insanlar yanımda sinir oluyorum ,kizgin,sev insan yan sinir ol
sabaha küfür edeceğim okumak istemeyen takipten çıksın ,kizgin,sabaha küfür ed oku iste takip çık
verdiğim değere karşılık alamayınca nankörlük edilince sinir oluyorum ,kizgin,ver değer karşılık al nankör ed sinir ol
handeyi bi salın gerçekten feci sinirleniyorum küfür edeceğim etmiyorum sınamayın ,kizgin,hande bi sal gerçekten feci sinirlen küfür ed et sın
bilim konuşulurken işin içine din sokmalarına sinir oluyorum ,kizgin,bili konuş iş iç din sok sinir ol
yolda yavaş yürüyen insanlara sinir oluyorum özellikle yolun ortasındalarsa ,kizgin,yol yavaş yürü insan sinir ol özellikle yol ortasındalarsa
kardeşim kumandayı saklamış çarşıya gitmişler saattir çizgi filme bakıyoruz kafayı yiyeceğim ,kizgin,kardeş kumanda sakla çarşı git saat çizgi film bak kafa yi
birine sinirlenip tartışırken gözlerim dolup yüzüm kızarıyor tarafa güçsüz göründüğümü düşünüp tekrar sinirleniyorum ,kizgin,biri sinirlen tartış gözle dol yüz kızar taraf güç görün düşün tekrar sinirlen
sürekli şeyleri sorguluyorum kafayı yiyeceğim ,kizgin,sürekli şey sorgul kafa yi
sinirleniyorum neye sinirlendiğimi bilmiyorum karadenizli gerçekten zor ,kizgin,sinirlen ne sinirlen bil karadeniz gerçekten zor
sinirlendim kar yağacak yağda oynayak lan ,kizgin,sinirlen kar yağ yağ oynayak lan
dışarda tanımadığınız insanlarla senli benli konuşmayın kafayı yiyeceğim ayılıklar görmek istemiyorum ,kizgin,dışar tanı insan sen ben konuş kafa yi ayı gör iste
kinci değilim düşene vuranlara düşürüp vurmak istiyorum ,kizgin,kinci değil düş vur düşür vur ist
yanımda oturan kadın konuşuyor yemin ederim kafayı yiyeceğim ,kizgin,yan otur kadın konuş yem ed kafa yi
cidden evde kalmak iyi gelmiyor okulda yoktan sinirimi nefretimi atabiliyorum evde iyice kafayı yiyeceğim ,kizgin,cidden ev kal iyi gel okul yok sinir nefret at ev iyi kafa yi
ayında sivrisinek kafayı yiyeceğim ,kizgin,ay sivrisinek kafa yi
uzun zamandır sinirli anımı yaşıyorum sinirliyim kafayı yiyeceğim an ,kizgin,uzun zaman sinirli an yaş sinirli kafa yi an
gece birilerine salça olmazsam kafayı yiyeceğim habersiz gidenler sinirimi bozuyor ,kizgin,gece biri salça ol kafa yi haber gid sinir boz
seven kalbim an nefret ediyor ,kizgin,sev kalb an nefret ed
güvenmiyor nefret ediyor yeryüzündeki hastalıksın ,kizgin,güven nefret ed yeryüzü hastalık
bence maskelerini çıkartsın birbirinden nefret ediyor soyunun ,kizgin,bence maske çıkart birbiri nefret ed soyun
karakter varya herkeste sanırım dolaylı anlatımlardan nefret ediyor kale almıyorum ,kizgin,karakter vary herkes san dolay anlatım nefret ed kale al
birbirlerinden nefret ediyor birbirleriyle samimi ,kizgin,birbir nefret ed birbir samimi
yok şehirden nefret ediyorum insanlar saygısız ,kizgin,yok şehir nefret ed insan saygı
gördüğümde inanmışlığım aklıma geldikçe kendimden nefret ediyorum ,kizgin,gör inan akl gel kendi nefret ed
sebepsiz yere arıyorum çalarken açarsa diyiyeceğim düşünüyorum açmayınca sinirleniyorum ,kizgin,sebep yer ar çal aç diyiyeceğim düşün aç sinirlen
herşeye kolay sinirleniyorum gerçekten insanlar sinir bozucu ,kizgin,herşey kolay sinirlen gerçekten insan sinir boz
saçma sapan konuklarla sıkıcı program yapıyorsunuz ,kizgin,saçma sap konuk sıkıcı program yap
abi saçma sapan cezalar veriliyor ,kizgin,abi saçma sap ceza ver
netimi saçma sapan şeylere harcıyorum ,kizgin,net saçma sap şey harc
evet bırakıp mobile legends oynayıp küfür edeceğim geri gelicem ,kizgin,evet bırak mobil legends oyna küfür ed geri gelicem
kızım özgüven küfür edeceğim sabrımı zorlama ,kizgin,kız özgüven küfür ed sabr zorla
arıyor bulamıyorsam direk sinirleniyorum sizede oluyo bende ,kizgin,ar bul direk sinirlen size oluyo ben
sistemli attığımız goller ofsayt verilmiyor penaltımız verilmiyor yeter defol git ,kizgin,sistem at gol ofsayt ver penaltı ver yeter defol git
aslı an sinirliyim üzüyorsun adamı kendin yapışıp konuşuyorsun ,kizgin,asl an sinirli üz ada kendi yapış konuş
sinirliyim an kırmızı lahananın rengi mor kabul etmiyorum rengi mor mor ,kizgin,sinirli an kırmızı lahana reng mor kabul et reng mor mor
elit semtte oturmasam sokağa çıkıp bağıra bağıra küfür edeceğim sinirim bedenime sığmıyor ,kizgin,elit semt otur sokağ çık bağır bağır küfür ed sinir beden sığ
saatte uyandırıldım sinirliyim ,kizgin,saat uyan sinirli
sinirliyim köpeğe olabilir ,kizgin,sinirli köpeğ ol
biriyle tartıştığımı hayal ettim hayale kendimi fazla kaptırdığım sinirliyim an ,kizgin,biri tartış hayal et hayal kendi fazla kap sinirli an
vize haftasına girdim an dağa taşa havadaki oksijene sinirliyim ,kizgin,vize hafta gir an dağ taş hava oksijen sinirli
yakın arkadaşlarımı başkalarıyla paylaşmaya dayanamamakşam aşırı sinirliyim ,kizgin,yakın arkadaş başka paylaş dayanamamakşam aşırı sinirli
lan günün saati sinirliyim kalan saatte uyuyorum ,kizgin,lan gü saat sinirli kal saat uy
geri ver defolup git gidiyorsan git ,kizgin,geri ver defol git gid git
istediğin insanla mutlu ol yüzün gülsün lütfen defolup git aklımdan ,kizgin,iste insa mutlu ol yüz gül lütfen defol git akl
şeyin rahatsız ediyor nolur defolup git gidiyorsan ,kizgin,şey rahat ed nolur defol git gid
durmak istemiyorsun durmadan defolup git ülkeden ,kizgin,dur iste durmadan defol git ülke
hastalık defol git başımdan ,kizgin,hastalık defol git baş
defol git ders çalış kalacaksın diyebilir ,kizgin,defol git ders çalış kal di
emeğe saygı göstermek zor olmamalı paylaşmayın izle filmini defol git ,kizgin,emeğ saygı göster zor ol paylaş izle film defol git
zihniyetini ayakta alkışlıyorum ego alaka kardeş sinir oluyorum boş insanları takip ediyorum ,kizgin,zihniyet ayakta alkışl ego alak kardeş sinir ol boş insan takip ed
çalışma saatlerimi bilmediğiniz karıştırdığınız acayip sinir oluyorum ,kizgin,çalış saat bil karış acayip sinir ol
anlatırken demiştim diyip duranlara sinir oluyorum aynı tarafa çekinmem söylerim ,kizgin,anlat de di dur sinir ol aynı taraf çekin söyle
sinirleniyorum sinirlendirmek ,kizgin,sinirlen sinirlen
kore dizisi diyen insanlara sinir oluyorum türk dizisi hint dizisi oluyorsa kore dizisi anlamak istemiyorsun ,kizgin,kore dizi di insan sinir ol türk dizi hint dizi ol kore dizi anla iste
not isteyenlere sinir oluyorum yüzlerine söylemesemde ,kizgin,not iste sinir ol yüz söylemesemde
sinir oluyorum kendime kötü herşeyi unuttum ,kizgin,sinir ol kendi kötü herşey unut
yanaklarımı sıkan insanlara sinir oluyorum ,kizgin,yanak sık insan sinir ol
korece müziğe önyargılı sinir oluyorum müzikte önemli dil hissettirdiğidir anlatamadık ,kizgin,korece müziğ önyargı sinir ol müzik önem dil hisset anlat
çıldıracağım kafayı yiyeceğim ,kizgin,çıldır kafa yi
seneye mezun olucam olana gün cübbenin renkler uyumlu gözükür düşünmekten kafayı yiyeceğim ,kizgin,seneye mezun olucam o gün cübbe renkle uyum gözük düşün kafa yi
hakaret ediyormuşum sinirinden geçilmiyor yaptın farkında ,kizgin,hakaret ed sinir geç yap fark
gündür evdeyim kafayı yiyeceğim insanlar çalışmadan gün napıyor ,kizgin,gün ev kafa yi insan çalış gün napıyor
anlaşılmıyor yazdıklarım anlaşılmıyor kafayı yiyeceğim ,kizgin,anlaş yaz anlaş kafa yi
sürekli sinirleniyorum akışına bıraktım neye sinirlendiğimi bilmiyorum ,kizgin,sürekli sinirlen ak bırak ne sinirlen bil
arabanın anahtarı annemde gitmiş allah’ım kafayı yiyeceğim ,kizgin,araba anahtar anne git allah kafa yi
öğrenci kimliğimi kaybetmişim kafayı yiyeceğim ay uğraş ,kizgin,öğrenci kimliğ kaybet kafa yi ay uğraş
boncuk kötü kafayı yiyeceğim ,kizgin,boncuk kötü kafa yi
telefonuma birini isim soyisimle kaydetmem sevmiyor nefret ediyor olmam lazım ,kizgin,telefon biri is soyisimle kaydet sev nefret ed ol lazım
ellerim soyuluyor dedi deri değiştiriyorsun normaldir sizde dedim sanırım nefret ediyor ,kizgin,elle soy de deri değiş normal siz de san nefret ed
vallahi delireceğim düştük amk ,kizgin,vallahi delir düş amk
sakin kalmaya çalıştıkça günden güne artan öfkemden nefret ediyorum ,kizgin,sakin kal çalış gün gün art öfke nefret ed
demiştim demekten nefret ediyorum dedirtiyorsun ,kizgin,de de nefret ed dedir
